Destination,Latitude,Longitude
Abu Dhabi,24.4538352,54.3774014
Agra,27.1752554,78.0098161
Ahmedabad,23.0215374,72.5800568
Ahmednagar,19.162772500000003,74.85802430085195
Ajmer,26.4691,74.639
Allepey,9.501237,76.3452685
Almora,29.70265095,79.43263182057746
Alwar,27.414004849999998,76.61703869600933
Amritsar,31.6356659,74.8787496
Anuradhapura,8.334985,80.4106096
Auckland,-36.852095,174.7631803
Aurangabad,24.80332005,84.41101977690866
Bali,-8.2271303,115.1919203
Bandipur,27.9380224,84.4066959
Bangalore,12.98815675,77.62260003796
Bangkok,13.7524938,100.4935089
Batam,1.1030815,104.0383696
Bentota,6.4215276,79.9978544
Bharatpur,27.024695899999998,77.29201163357268
Bikaner,28.0159286,73.3171367
Bintan Island,1.01965765,104.56981887122059
Bundi,25.4367659,75.736147085863
Cairns,-16.9206657,145.7721854
Chail,46.2021241,-0.07569542361856593
Chandigarh,30.7334421,76.7797143
Chennai,13.0836939,80.270186
Cherrapunjee,25.2777336,91.7292416
Chintpurni,31.80677,76.1059713
Chittorgarh,24.7171578,74.47181293724019
Christchurch,-43.530955,172.6364343
Cochin,9.9674277,76.2454436
Colombo,6.9388614,79.8542005
Coorg,12.9363343,77.6151183
Copenhagen,55.6867243,12.5700724
Corbett,45.5314503,-122.292256
Dalhousie,48.0634448,-66.369555
Daman,20.4169701,72.833173
Dambulla,7.8742031,80.6510917
Darjeeling,27.0377554,88.263176
Dharamshala,32.2143039,76.3196717
Dubai,25.074282349999997,55.18853865430702
Dwarka,22.2424747,68.9671448
Franz Josef,-43.3889668,170.1819048
Galle,6.0328139,80.214955
Gangtok,27.329046,88.6122673
Ganpatipule,17.1466952,73.2697524
Genting,-3.6460497,102.2954546
Goa,15.3004543,74.0855134
Gokarna,14.5439629,74.3184418
Gold Coast,-28.0023731,153.4145987
Gulmarg,34.04897,74.39212
Guwahati,26.1805978,91.753943
Gwalior,26.2037247,78.1573628
Hampi,15.3358,76.4610201
Haridwar,29.9384473,78.1452985
Hassan,13.030185249999999,76.17449676658171
Havelock,34.8785,-76.9014457
Helsinki,60.1674881,24.9427473
Hong Kong,22.350627,114.1849161
Jaipur,26.9154576,75.8189817
Jaisalmer,26.9116615,70.9124888
Jakarta,-6.1754049,106.827168
Jammu,32.7185614,74.8580917
Jamnagar,22.4732415,70.0552102
Jodhpur,26.2967719,73.0351433
Johor Bahru,1.4581986,103.7649059
Joshimath,30.5555752,79.5612607
Kabini,12.0140065,76.4152088
Kalimpong,27.0702869,88.4723676
Kanchipuram,12.9647163,79.9839686
Kandy,7.2931208,80.6350358
Kangra,32.0768665,76.29858720759783
Kanyakumari,8.079252,77.5499338
Kasauli,30.8999479,76.9619744
Kasol,32.0104317,77.3166036
Katra,53.7714854,24.3904462
Kausani,11.816543,8.878442200540462
Kaziranga,26.5892533,93.4084741
Khajuraho,24.8515132,79.9259786
Kishangarh,26.5885585,74.861097
Kodaikanal,10.233712,77.4919719
Kota Kinabalu,5.9780066,116.0728988
Kovalam,8.3902593,76.9785152
Kovalam and Poovar,8.3252221,77.07515982441677
Krabi town,8.0634637,98.9162345
Kuala Lumpur,3.1526589,101.7022205
Kullu,31.9578974,77.1089232
Kumarakom,9.5949953,76.4302599
Kumbakonam,10.9604108,79.3820861
Kumbalgarh,25.1480528,73.5827479
Kuta,43.5008087,18.7053366
Lachen,47.9455572,10.2388429
Lachung,27.6897097,88.7425876
Langkawi,6.3700386,99.7928634
Leh,34.1642029,77.5848133
Lucknow,26.8381,80.9346001
Madurai,9.9261153,78.1140983
Mahabalipuram,12.6195981,80.1936497
Mahe Island,-4.68379555,55.49263800753758
Manali,32.2454608,77.1872926
Mandawa,50.9176568,14.6237024
Mathura,27.4955539,77.6855554
Mauritius,-20.2759451,57.5703566
Melbourne,-37.8142454,144.9631732
Moscow,55.625578,37.6063916
Mount Abu,24.592433,72.7081876
Mumbai,19.054999,72.8692035
Munnar,10.0869959,77.0600915
Mussoorie,30.4569012,78.0782906
Mysore,12.3051828,76.6553609
Nainital,29.3905295,79.460869
Namchi,27.3031019,88.37859609224414
Nameri,26.94751295,92.89190135905412
Nanded,19.09400875,77.48319215130235
Nasik,-2.8338744,107.4174285
Nawalgarh,27.8503,75.2741
Negombo,7.2094282,79.833117
New Delhi,28.64308585,77.21926705734865
Niel Island,-27.623238214692016,153.37798523904183
Nubra Valley,34.46183183694707,77.7240454658331
Nuwara Eliya,7.012402,80.75716115484704
Ooty,11.4126769,76.7030504
Orchha,25.3528706,78.6402465
Oslo,59.9133301,10.7389701
Pahalgam,34.01448585,75.32851642391816
Palampur,32.1095492,76.5359534
Pali,25.45522105,73.4193889559074
Paris,48.8534951,2.3483915
Paro,27.4646365,89.3183409
Parwanoo,30.837887,76.9601747
Patnitop,33.09082,75.32639
Pattaya,12.9366924,100.8865002
Pelling,27.3003722,88.2356503
Penang,5.4065013,100.2559077
Phuentsholing,26.8639605,89.3837363
Phuket,7.9366015,98.3529292
Pondicherry,10.91564885,79.80694879844232
Poovar,8.3187448,77.0706518
Port Blair,11.6645348,92.7390448
Prague,50.0596288,14.446459273258009
Praslin Island,13.87521895,-60.88958522368622
Punakha,27.5842857,89.8593094
Pushkar,26.4876472,74.5578484
Queenstown,-45.0321923,168.661
Rameshwaram,9.2844657,79.3125553
Ranakpur,23.943721,71.7971842
Ranikhet,29.632300700000002,79.4154141676432
Ranthambhore,26.031249850000002,76.4906652236282
Ras Al Khaimah,25.7737705,55.938232
Rishikesh,30.1086537,78.2916193
Rotorua,-38.1381493,176.252922
Saint Petersburg,59.9606739,30.1586551
Saputara,20.579669,73.7478878
Seminyak,-8.6908357,115.1641975
Sharjah,25.2311534,54.21900831355923
Shillong,25.5760446,91.8825282
Shimla,31.1041526,77.1709729
Shirdi,19.7668121,74.4754386
Sigiriya,7.9566634,80.7599301
Siliguri,26.7164127,88.4309916
Singapore,1.357107,103.8194992
Singapore Cruise,1.2626595,103.81981796270881
Somnath,20.8957174,70.4080467
Sonmarg,34.302387,75.2965551
Srinagar,34.0747444,74.8204443
Sydney,-33.8698439,151.2082848
Tanjore,10.7860267,79.1381497
Thekkady,9.5804995,77.181142
Thimpu,27.4713546,89.6336729
Tirupati,13.6316368,79.4231711
Trincomalee,8.576425,81.2344952
Trivandrum,8.4882267,76.947551
Udaipur,24.578721,73.6862571
Vadodara,22.2973142,73.1942567
Varanasi,25.3356491,83.0076292
Varkala,8.7342288,76.7257086
Wayanad,11.71512915,76.12711850740615
Yala,6.3344846,101.1409694
